run_id	scenario_id	event_type	target_id	COALESCE(g.failure_type,'')	occurred_at	COALESCE(g.details,'')
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	run_start	bench-a		2026-04-29 03:08:09.130555	
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	failure_start	bench-a	http_status	2026-04-29 03:08:11.042477	{"rate": 1, "status_code": 503}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	failure_end	bench-a	http_status	2026-04-29 03:18:11.074715	
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	run_end	bench-a		2026-04-29 03:23:15.335105	{"reason": "planned_completion"}
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	run_start	bench-a		2026-04-29 03:31:17.570836	
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	failure_start	bench-a	http_method_status	2026-04-29 03:31:19.954979	{"rate": 1, "method": "HEAD", "status_code": 405}
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	failure_end	bench-a	http_method_status	2026-04-29 03:41:19.984410	
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	run_end	bench-a		2026-04-29 03:46:22.660306	{"reason": "planned_completion"}
e4b3a4b2a6db3c2d5a7a2bde755df530	headget-20260429-030809Z-http-head-200-get-503	run_start	bench-a		2026-04-29 03:54:23.203107	
e4b3a4b2a6db3c2d5a7a2bde755df530	headget-20260429-030809Z-http-head-200-get-503	failure_start	bench-a	http_method_status	2026-04-29 03:54:25.155014	{"rate": 1, "method": "GET", "status_code": 503}
e4b3a4b2a6db3c2d5a7a2bde755df530	headget-20260429-030809Z-http-head-200-get-503	failure_end	bench-a	http_method_status	2026-04-29 04:04:25.252385	
e4b3a4b2a6db3c2d5a7a2bde755df530	headget-20260429-030809Z-http-head-200-get-503	run_end	bench-a		2026-04-29 04:09:27.895240	{"reason": "planned_completion"}
50f07c4d3adb2ba7696f8ff2dbab9531	headget-20260429-030809Z-http-head-timeout-get-200	run_start	bench-a		2026-04-29 04:17:28.550230	
50f07c4d3adb2ba7696f8ff2dbab9531	headget-20260429-030809Z-http-head-timeout-get-200	failure_start	bench-a	http_timeout	2026-04-29 04:18:00.122629	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "HEAD"}
50f07c4d3adb2ba7696f8ff2dbab9531	headget-20260429-030809Z-http-head-timeout-get-200	failure_end	bench-a	http_timeout	2026-04-29 04:28:00.125424	
50f07c4d3adb2ba7696f8ff2dbab9531	headget-20260429-030809Z-http-head-timeout-get-200	run_end	bench-a		2026-04-29 04:33:02.520949	{"reason": "adapter_error"}
11f4764aa17f97e63b47faca92385cc9	headget-20260429-030809Z-http-head-200-get-timeout	run_start	bench-a		2026-04-29 04:41:03.079343	
11f4764aa17f97e63b47faca92385cc9	headget-20260429-030809Z-http-head-200-get-timeout	failure_start	bench-a	http_timeout	2026-04-29 04:41:04.951757	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "GET"}
11f4764aa17f97e63b47faca92385cc9	headget-20260429-030809Z-http-head-200-get-timeout	failure_end	bench-a	http_timeout	2026-04-29 04:51:04.983305	
11f4764aa17f97e63b47faca92385cc9	headget-20260429-030809Z-http-head-200-get-timeout	run_end	bench-a		2026-04-29 04:56:08.917308	{"reason": "adapter_error"}
a0215d249f03a2e3df8da361acd570a6	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_start	bench-a		2026-04-29 05:04:09.364123	
