run_id	scenario_id	service_id	retrieve_status	COALESCE(mr.retrieve_unknown_reason,'')	COALESCE(mr.reason_code,'')	COALESCE(mr.event_type,'')	COALESCE(mr.raw_classification,'')	COALESCE(mr.normalized_classification,'')	COALESCE(mr.reported_at,'')	retrieved_at	COALESCE(mr.metadata,'')
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	known			alert_fired	down	http_failure	2026-04-29 03:08:14.353000	2026-04-29 03:23:13.875402	{"name": "uptime-bench: bench-a", "cause": "Status 503", "incident_id": "957913717", "better_uptime_status": "Resolved"}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	known			alert_resolved	up	recovered	2026-04-29 03:21:44.608000	2026-04-29 03:23:13.875402	{"incident_id": "957913717"}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	datadog-synthetics	known			alert_fired	Alert	http_failure	2026-04-29 03:13:11.584000	2026-04-29 03:23:13.665282	{"result_id": "4591997916876756851", "event_type": ""}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	jetmon-v1	known							2026-04-29 03:23:11.726900	null
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	jetmon-v2	known			alert_fired	seems_down	http_failure	2026-04-29 03:10:48.567000	2026-04-29 03:23:11.995193	{"state": "Seems Down", "site_id": 8408316017141452, "event_id": 202, "severity": 3, "check_type": "http", "duration_ms": 602781, "jetmon_metadata": {"url": "http://bench-a.harmonic.party/", "rtt_ms": 352, "http_code": 503, "error_code": 0}, "transition_count": 2, "resolution_reason": "probe_cleared"}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	jetmon-v2	known			alert_resolved	up	recovered	2026-04-29 03:20:51.348000	2026-04-29 03:23:11.995193	{"state": "Seems Down", "site_id": 8408316017141452, "event_id": 202, "severity": 3, "check_type": "http", "duration_ms": 602781, "jetmon_metadata": {"url": "http://bench-a.harmonic.party/", "rtt_ms": 352, "http_code": 503, "error_code": 0}, "transition_count": 2, "resolution_reason": "probe_cleared"}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	pingdom	known			alert_fired	down	http_failure	2026-04-29 03:12:50.000000	2026-04-29 03:23:13.189834	{"timeto": 1777432970, "check_id": "14461225", "duration_s": 600}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	pingdom	known			alert_resolved	up	recovered	2026-04-29 03:22:50.000000	2026-04-29 03:23:13.189834	{"timeto": 1777432970, "check_id": "14461225", "duration_s": 0}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	uptimerobot	known			alert_fired	down	http_failure	2026-04-29 03:09:29.000000	2026-04-29 03:23:13.378387	{"duration_s": 609, "monitor_id": 802946637, "reason_code": "503", "reason_text": "Service Unavailable", "final_status": 2}
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	uptimerobot	known			alert_resolved	up	recovered	2026-04-29 03:19:38.000000	2026-04-29 03:23:13.378387	{"duration_s": 215, "monitor_id": 802946637, "reason_code": "200", "reason_text": "OK", "final_status": 2}
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	better-uptime	known							2026-04-29 03:46:21.290739	null
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	datadog-synthetics	known							2026-04-29 03:46:21.122445	null
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	jetmon-v1	known							2026-04-29 03:46:20.310850	null
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	jetmon-v2	known							2026-04-29 03:46:20.470752	null
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	pingdom	known			alert_resolved	up	recovered	2026-04-29 03:35:01.000000	2026-04-29 03:46:20.715645	{"timeto": 1777434301, "check_id": "14461229", "duration_s": 600}
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	uptimerobot	known			alert_fired	down	http_failure	2026-04-29 03:32:35.000000	2026-04-29 03:46:20.861902	{"duration_s": 610, "monitor_id": 802946790, "reason_code": "405", "reason_text": "Method Not Allowed", "final_status": 2}
