1	control	http-503.toml
2	r1	http-head-405-get-200.toml
3	r1	http-head-200-get-503.toml
4	r1	http-head-timeout-get-200.toml
5	r1	http-head-200-get-timeout.toml
6	r1	http-head-200-get-redirect-loop.toml
7	r1	http-head-200-get-partial.toml
8	r2	http-head-200-get-503.toml
9	r2	http-head-200-get-timeout.toml
10	r2	http-head-405-get-200.toml
11	r2	http-head-200-get-partial.toml
12	r2	http-head-timeout-get-200.toml
13	r2	http-head-200-get-redirect-loop.toml
14	r3	http-head-200-get-redirect-loop.toml
15	r3	http-head-405-get-200.toml
16	r3	http-head-200-get-partial.toml
17	r3	http-head-200-get-503.toml
18	r3	http-head-200-get-timeout.toml
19	r3	http-head-timeout-get-200.toml
